id;nom_filiere;description;image_filiere;image_filiere_content_type
1;avex camarade antagoniste;précisément;../fake-data/blob/hipster.png;image/png
2;outre;découvrir grrr;../fake-data/blob/hipster.png;image/png
3;demain carrément;aller;../fake-data/blob/hipster.png;image/png
4;athlète dès tellement;dehors;../fake-data/blob/hipster.png;image/png
5;d'après;dring dessous placide;../fake-data/blob/hipster.png;image/png
6;snob dorénavant dans la mesure où;énergique;../fake-data/blob/hipster.png;image/png
7;malgré étant donné que;au prix de ouin dynamique;../fake-data/blob/hipster.png;image/png
8;toujours proche de à la faveur de;membre de l’équipe;../fake-data/blob/hipster.png;image/png
9;contre lors de tandis que;bien que ronron jusqu’à ce que;../fake-data/blob/hipster.png;image/png
10;touriste via hystérique;quand foule;../fake-data/blob/hipster.png;image/png
